index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,648.9974393120292,687.5874376461396,602.9983635084944,5.612376873291626,-7.628391482838041
1,MDVRP,False,33,2708.7111205396554,2919.8180155287387,2318.1532523496135,7.230138791744343,-16.847801921386505
2,GVRP,False,92,572.8746824401743,626.096262714317,606.4466079972321,8.500542719007948,5.535841921505327
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,6994.277159642407,9400.967810939004,5986.765024435872,25.600456247665925,-16.82899080044439
5,MDVRPTW,False,20,3719.6481056843922,4013.0459991516655,3299.5682255914276,7.311102178477292,-12.731359116469488
6,G-VRPTW,False,92,1062.9690972184806,1326.0703103280764,1106.7636187250826,19.8406684065269,3.9569896196127536
7,G-VRPTW-MD,False,92,961.566424583038,1102.2492308593653,757.9208926120752,12.763248305162739,-26.868969302208452
8,VRP,True,27,1299.613712841331,1453.260347397832,1094.0534004986753,10.57254708914451,-18.78887376511607
9,MDVRP,True,33,3806.6956644293923,3852.937082148458,2597.0987647894617,1.2001602085150287,-46.57492876432786
10,GVRP,True,92,725.7042351709742,780.8664717208892,657.346377314294,7.064234225391609,-10.399062079868521
11,GVRP-MD,True,92,685.0440094524683,733.8781204489882,588.7721531977078,6.654253565516168,-16.351292385669737
12,VRPTW,True,120,7141.447227228474,9509.661093314602,6095.617845885498,24.903241480929424,-17.157069353501274
13,MDVRPTW,True,20,3734.5413432602204,4090.123784081288,3302.7136374877773,8.693684093498343,-13.074936345402158
14,G-VRPTW,True,92,1120.5436235387597,1326.0703103280764,1107.1268267155738,15.498928313874128,-1.211857259659082
15,G-VRPTW-MD,True,92,952.5126737962725,1102.2492308593653,758.023620323214,13.58463701955602,-25.657386954529226
