index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,620.3955233872256,687.5874376461396,602.9983635084944,9.772126507857132,-2.8851089706955846
1,MDVRP,False,33,2925.7085129522675,2919.8180155287387,2318.1532523496135,-0.20174193707281876,-26.20858909939856
2,GVRP,False,92,570.406818625144,626.096262714317,606.4466079972321,8.894709552767889,5.9427802706504185
3,GVRP-MD,False,92,606.9566101733711,612.3817849791292,572.0922725599376,0.8859138104414626,-6.094180831603676
4,VRPTW,False,120,6918.224518228598,9400.967810939004,5986.765024435872,26.409443608789683,-15.558644610082997
5,MDVRPTW,False,20,3711.202702983164,4013.0459991516655,3299.5682255914276,7.521550867652889,-12.475404333182208
6,G-VRPTW,False,92,1111.3855102533148,1326.0703103280764,1106.7636187250826,16.189548804666888,-0.41760421557372507
7,G-VRPTW-MD,False,92,1029.8195293815654,1102.2492308593653,757.9208926120752,6.571082061117002,-35.87427651353258
8,VRP,True,27,1293.0004295703748,1453.260347397832,1094.0534004986753,11.027612369278101,-18.184398401487385
9,MDVRP,True,33,3868.980931762884,3852.937082148458,2597.0987647894617,-0.4164056996611999,-48.973192094853964
10,GVRP,True,92,729.3062007435935,780.8664717208892,657.346377314294,6.602956183234005,-10.94701757136081
11,GVRP-MD,True,92,692.6725878652239,733.8781204489882,588.7721531977078,5.614765100035222,-17.646968203780983
12,VRPTW,True,120,7128.661441977499,9509.661093314602,6095.617845885498,25.037691963712277,-16.94731563248011
13,MDVRPTW,True,20,3849.2737048036724,4090.123784081288,3302.7136374877773,5.888576776453586,-16.548817951157226
14,G-VRPTW,True,92,1203.1934815346394,1326.0703103280764,1107.1268267155738,9.266237833425034,-8.67711381396647
15,G-VRPTW-MD,True,92,1022.3351524062684,1102.2492308593653,758.023620323214,7.250091559673133,-34.868508710896705
