index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,618.1630376523243,687.5874376461396,602.9983635084944,10.09681041170271,-2.5148781591372007
1,MDVRP,False,33,2731.2368018960897,2919.8180155287387,2318.1532523496135,6.458663267015274,-17.81950995378699
2,GVRP,False,92,573.2697113397214,626.096262714317,606.4466079972321,8.437448763162475,5.470703639859776
3,GVRP-MD,False,92,606.9566101733711,612.3817849791292,572.0922725599376,0.8859138104414626,-6.094180831603676
4,VRPTW,False,120,6872.676921505057,9400.967810939004,5986.765024435872,26.893942626758253,-14.797839792495681
5,MDVRPTW,False,20,3612.357611605643,4013.0459991516655,3299.5682255914276,9.984644771844772,-9.479706574582186
6,G-VRPTW,False,92,1132.224203904275,1326.0703103280764,1106.7636187250826,14.618086606270737,-2.3004537507766503
7,G-VRPTW-MD,False,92,961.8683842184206,1102.2492308593653,757.9208926120752,12.7358534450051,-26.908809823604017
8,VRP,True,27,1312.707940838751,1453.260347397832,1094.0534004986753,9.671522849347005,-19.985728323719105
9,MDVRP,True,33,3849.6104196806814,3852.937082148458,2597.0987647894617,0.08634094969237636,-48.227340133241206
10,GVRP,True,92,738.9381040629098,780.8664717208892,657.346377314294,5.369467018551431,-12.412288188454514
11,GVRP-MD,True,92,709.5098376871238,733.8781204489882,588.7721531977078,3.320480892243502,-20.506690717907077
12,VRPTW,True,120,7274.41904948862,9509.661093314602,6095.617845885498,23.504960081042032,-19.338502402981256
13,MDVRPTW,True,20,3759.534500526638,4090.123784081288,3302.7136374877773,8.082622947532766,-13.83168246419158
14,G-VRPTW,True,92,1311.3744647840933,1326.0703103280764,1107.1268267155738,1.1082252147208727,-18.448440877766913
15,G-VRPTW-MD,True,92,953.1144053677219,1102.2492308593653,758.023620323214,13.530045775162018,-25.736768593216542
