index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,631.5421321947309,687.5874376461396,602.9983635084944,8.151007767575283,-4.733639494501612
1,MDVRP,False,33,2781.771308725186,2919.8180155287387,2318.1532523496135,4.727921605708512,-19.99945671864716
2,GVRP,False,92,560.8336234145404,626.096262714317,606.446607997232,10.423738837993271,7.521352082968502
3,GVRP-MD,False,92,606.6158683542135,612.3817849791294,572.0922725599379,0.9415558670009143,-6.034620191563341
4,VRPTW,False,120,6733.4434546122375,9400.967810939004,5986.765024435869,28.37499723403823,-12.472151940633873
5,MDVRPTW,False,20,3669.431942725929,4013.045999151664,3299.5682255914276,8.562425063115981,-11.20945808199512
6,G-VRPTW,False,92,1096.6035662172915,1326.0703103280762,1106.763618725083,17.304266774060682,0.9179966106489141
7,G-VRPTW-MD,False,92,938.5506912984298,1102.2492308593653,757.9208926120752,14.851318102831282,-23.832275960072504
8,VRP,True,27,1305.4782498672912,1453.2603473978322,1094.0534004986753,10.169003633461516,-19.32491131349232
9,MDVRP,True,33,3533.317810669165,3852.937082148457,2597.098764789462,8.295470823029056,-36.04865007725645
10,GVRP,True,92,710.5693256547198,780.8664717208892,657.3463773142942,9.002454147025562,-8.096636746957898
11,GVRP-MD,True,92,694.1385200152317,733.878120448988,588.7721531977082,5.415013655052634,-17.8959494339641
12,VRPTW,True,120,7512.828813776055,9509.661093314606,6095.617845885497,20.99793315392013,-23.24966892153788
13,MDVRPTW,True,20,3740.624690685804,4090.1237840812873,3302.7136374877773,8.544951494028847,-13.259128742724593
14,G-VRPTW,True,92,1118.790052802153,1326.0703103280762,1107.1268267155738,15.63116645561886,-1.0534679320507137
15,G-VRPTW-MD,True,92,963.3284369523134,1102.2492308593653,758.023620323214,12.60339222906445,-27.084224175172718
