index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings,source_file
0,VRP,False,27,617.8532664441872,687.5874376461396,602.9983635084944,10.141862312185012,-2.463506343410412,node_size/exp_I_3.csv
1,MDVRP,False,33,2603.8579521678694,2919.8180155287387,2318.1532523496135,10.821224531134119,-12.324668333669218,mut_cross/exp_cx100_mu20_4.csv
2,GVRP,False,92,556.9100765255484,626.096262714317,606.4466079972321,11.050407151262254,8.168325260368146,tournament_size/exp_t7_2.csv
3,GVRP-MD,False,92,589.2790422265981,612.3817849791292,572.0922725599376,3.772604495954831,-3.0041953878794807,node_size/exp_E_1.csv
4,VRPTW,False,120,6230.764384596891,9400.967810939004,5986.765024435872,33.72209638515357,-4.075646182288762,set_size/exp_Core_4.csv
5,MDVRPTW,False,20,3458.3213083279707,4013.0459991516655,3299.5682255914276,13.823033449927072,-4.811328994662251,mut_cross/exp_cx100_mu05_1.csv
6,G-VRPTW,False,92,1062.9690972184806,1326.0703103280764,1106.7636187250826,19.8406684065269,3.9569896196127536,2train/exp_Refined_1.csv
7,G-VRPTW-MD,False,92,919.9446386953742,1102.2492308593653,757.9208926120752,16.53932586751345,-21.3773954066506,2train/exp_Refined_2.csv
8,VRP,True,27,1277.1969174647488,1453.260347397832,1094.0534004986753,12.115064602728445,-16.739906560556893,2train/exp_train10_4.csv
9,MDVRP,True,33,3456.3229922682663,3852.937082148458,2597.0987647894617,10.293811744754306,-33.084002777555476,mut_cross/exp_cx100_mu20_5.csv
10,GVRP,True,92,703.3921946268285,780.8664717208892,657.346377314294,9.92157813144689,-7.004802780029443,tournament_size/exp_t7_5.csv
11,GVRP-MD,True,92,676.4204307884966,733.8781204489882,588.7721531977078,7.82932316136348,-14.886620760638586,2train/exp_Refined_3.csv
12,VRPTW,True,120,6683.9997439159,9509.661093314602,6095.617845885498,29.713586232691025,-9.652539133954324,set_size/exp_Core_4.csv
13,MDVRPTW,True,20,3540.4892437905996,4090.123784081288,3302.7136374877773,13.438090613048415,-7.1994012318817715,tournament_size/exp_t5_4.csv
14,G-VRPTW,True,92,1071.5284030222672,1326.0703103280764,1107.1268267155738,19.195204456604888,3.215388050790317,pop_gen/exp_p50_g200_3.csv
15,G-VRPTW-MD,True,92,925.1946934382917,1102.2492308593653,758.023620323214,16.063022088301533,-22.053544062887845,set_size/exp_Atomic_4.csv
