index,problem_type,bool_capacity,n_instances,gp_avg_cost,pct_vs_nn,source_file,jsonl_file,analysis_status,expr_size_nodes,n_functions,n_terminals,n_constants,functions_used,terminals_used,constants_used,best_expr
0,VRP,False,27,617.8532664441872,10.141862312185012,node_size/exp_I_3.csv,experiments/node_size/exp_I_3.jsonl,ok,25,12,12,1,add:5; sub:4; min:2; protected_div:1,dist_from_current:7; savings:4; battery_safety_margin:1,1.0:1,"add(add(min(min(add(sub(dist_from_current, savings), dist_from_current), battery_safety_margin), add(add(sub(dist_from_current, savings), sub(dist_from_current, protected_div(savings, dist_from_current))), dist_from_current)), sub(dist_from_current, savings)), 1.0)"
1,MDVRP,False,33,2603.8579521678694,10.821224531134119,mut_cross/exp_cx100_mu20_4.csv,,jsonl_not_found,,,,,,,,
2,GVRP,False,92,556.9100765255484,11.050407151262254,tournament_size/exp_t7_2.csv,experiments/tournament_size/exp_t7_2.jsonl,ok,47,23,23,1,add:13; sub:5; protected_div:3; min:1; mul:1,energy_to_customer:13; dist_to_depot:4; savings:3; current_battery:2; travel_time:1,1.0:1,"sub(energy_to_customer, sub(add(savings, savings), protected_div(add(add(energy_to_customer, sub(add(energy_to_customer, add(energy_to_customer, sub(add(energy_to_customer, current_battery), add(dist_to_depot, sub(add(protected_div(add(energy_to_customer, add(energy_to_customer, current_battery)), add(energy_to_customer, energy_to_customer)), dist_to_depot), add(min(dist_to_depot, travel_time), energy_to_customer)))))), protected_div(mul(dist_to_depot, savings), energy_to_customer))), energy_to_customer), add(1.0, energy_to_customer))))"
3,GVRP-MD,False,92,589.2790422265981,3.772604495954831,node_size/exp_E_1.csv,experiments/node_size/exp_E_1.jsonl,ok,13,6,7,0,sub:4; protected_div:1; min:1,dist_from_current:3; depot_distance_advantage:2; battery_percentage:1; route_urgency:1,,"sub(dist_from_current, protected_div(sub(battery_percentage, sub(dist_from_current, depot_distance_advantage)), min(sub(dist_from_current, depot_distance_advantage), route_urgency)))"
4,VRPTW,False,120,6230.764384596891,33.72209638515357,set_size/exp_Core_4.csv,experiments/set_size/exp_Core_4.jsonl,ok,547,273,215,59,max:81; add:60; min:52; sub:39; mul:29; protected_div:12,energy_to_customer:44; savings:41; dist_from_current:31; depot_rank:28; dist_to_depot:23; wait_time:19; ready_time:18; arrival_time:8; due_time:3,1.0:59,"protected_div(max(protected_div(add(add(max(add(dist_to_depot, sub(protected_div(add(add(max(add(max(mul(1.0, max(1.0, add(max(add(dist_to_depot, sub(protected_div(add(add(max(add(max(mul(1.0, max(1.0, dist_from_current)), add(sub(max(dist_to_depot, 1.0), mul(1.0, depot_rank)), wait_time)), sub(min(add(dist_to_depot, sub(min(min(max(add(max(min(arrival_time, max(add(dist_to_depot, sub(protected_div(add(add(max(add(max(add(max(energy_to_customer, add(protected_div(add(min(max(dist_to_depot, mul(energy_to_customer, min(min(max(add(max(min(dist_from_current, max(add(add(sub(max(dist_to_depot, 1.0), mul(1.0, depot_rank)), wait_time), sub(max(dist_to_depot, min(dist_from_current, depot_rank)), 1.0)), savings)), mul(1.0, savings)), sub(sub(min(max(dist_to_depot, mul(energy_to_customer, min(sub(wait_time, 1.0), max(energy_to_customer, energy_to_customer)))), min(min(protected_div(savings, max(savings, 1.0)), energy_to_customer), energy_to_customer)), mul(1.0, savings)), 1.0)), max(add(max(min(dist_from_current, depot_rank), mul(sub(depot_rank, dist_from_current), max(arrival_time, energy_to_customer))), sub(sub(dist_from_current, mul(add(dist_from_current, energy_to_customer), savings)), 1.0)), savings)), ready_time), max(dist_from_current, energy_to_customer)))), ready_time), due_time), max(savings, max(mul(1.0, max(1.0, dist_from_current)), wait_time))), wait_time)), sub(max(dist_to_depot, min(dist_from_current, depot_rank)), depot_rank)), savings), sub(min(add(dist_to_depot, sub(min(min(max(add(max(min(arrival_time, max(savings, 1.0)), add(dist_from_current, dist_to_depot)), add(dist_from_current, wait_time)), energy_to_customer), ready_time), ready_time), mul(1.0, savings))), ready_time), mul(1.0, savings))), energy_to_customer), depot_rank), energy_to_customer), max(depot_rank, protected_div(savings, max(savings, 1.0)))), mul(1.0, savings))), energy_to_customer)), add(dist_from_current, dist_to_depot)), sub(1.0, 1.0)), energy_to_customer), ready_time), ready_time), mul(1.0, savings))), ready_time), mul(1.0, savings))), energy_to_customer), depot_rank), min(min(protected_div(savings, max(savings, 1.0)), energy_to_customer), energy_to_customer)), max(depot_rank, 1.0)), mul(1.0, savings))), energy_to_customer), max(add(max(min(dist_from_current, max(dist_to_depot, depot_rank)), add(depot_rank, wait_time)), min(max(add(max(min(dist_from_current, max(add(max(min(dist_from_current, depot_rank), add(max(add(max(min(savings, depot_rank), add(savings, wait_time)), sub(min(1.0, ready_time), 1.0)), energy_to_customer), wait_time)), sub(max(dist_to_depot, min(dist_from_current, depot_rank)), 1.0)), savings)), max(add(max(min(savings, depot_rank), add(savings, wait_time)), sub(min(1.0, ready_time), 1.0)), add(dist_from_current, energy_to_customer))), sub(sub(min(max(dist_to_depot, mul(energy_to_customer, min(sub(wait_time, 1.0), max(energy_to_customer, energy_to_customer)))), min(min(protected_div(savings, max(savings, 1.0)), energy_to_customer), energy_to_customer)), mul(1.0, savings)), 1.0)), max(add(max(min(min(min(max(add(max(min(arrival_time, max(savings, 1.0)), add(dist_from_current, dist_to_depot)), add(dist_from_current, wait_time)), energy_to_customer), ready_time), ready_time), depot_rank), mul(sub(depot_rank, dist_from_current), max(arrival_time, energy_to_customer))), sub(sub(dist_from_current, mul(add(dist_from_current, energy_to_customer), savings)), 1.0)), savings)), ready_time)), energy_to_customer)))), add(sub(max(dist_to_depot, 1.0), mul(1.0, depot_rank)), wait_time)), sub(min(add(dist_to_depot, sub(min(min(max(add(max(min(arrival_time, max(add(dist_to_depot, sub(protected_div(add(depot_rank, energy_to_customer), dist_from_current), mul(1.0, savings))), energy_to_customer)), add(dist_from_current, dist_to_depot)), sub(1.0, 1.0)), energy_to_customer), ready_time), ready_time), mul(1.0, savings))), ready_time), mul(1.0, savings))), energy_to_customer), depot_rank), energy_to_customer), max(depot_rank, 1.0)), mul(1.0, savings))), energy_to_customer), max(add(max(min(dist_from_current, max(dist_to_depot, depot_rank)), add(depot_rank, wait_time)), min(max(add(max(min(1.0, ready_time), max(add(max(min(1.0, depot_rank), add(savings, wait_time)), sub(min(1.0, due_time), 1.0)), add(dist_from_current, wait_time))), sub(sub(min(max(dist_to_depot, mul(energy_to_customer, min(sub(wait_time, 1.0), max(energy_to_customer, energy_to_customer)))), min(min(protected_div(savings, max(savings, 1.0)), wait_time), energy_to_customer)), wait_time), 1.0)), max(add(max(min(dist_from_current, depot_rank), mul(sub(depot_rank, dist_from_current), max(arrival_time, energy_to_customer))), sub(sub(dist_from_current, mul(add(dist_from_current, energy_to_customer), savings)), 1.0)), savings)), ready_time)), energy_to_customer)), due_time), max(savings, 1.0)), energy_to_customer), max(1.0, arrival_time))"
5,MDVRPTW,False,20,3458.3213083279707,13.823033449927072,mut_cross/exp_cx100_mu05_1.csv,experiments/mut_cross/exp_cx100_mu05_1.jsonl,ok,39,19,19,1,add:5; max:5; sub:5; protected_div:2; mul:2,dist_from_current:8; dist_to_depot:4; wait_time:3; depot_rank:2; depot_distance_advantage:1; savings:1,1.0:1,"add(max(wait_time, max(protected_div(max(sub(add(add(dist_from_current, dist_from_current), depot_distance_advantage), dist_to_depot), dist_from_current), dist_to_depot), dist_from_current)), sub(mul(depot_rank, max(dist_from_current, protected_div(sub(savings, sub(mul(depot_rank, add(dist_from_current, dist_from_current)), max(sub(add(wait_time, dist_to_depot), dist_from_current), 1.0))), wait_time))), dist_to_depot))"
6,G-VRPTW,False,92,1062.9690972184806,19.8406684065269,2train/exp_Refined_1.csv,experiments/set_size/exp_Refined_1.jsonl,ok,71,35,30,6,min:10; add:6; protected_div:6; mul:5; sub:4; max:4,due_time:6; energy_to_customer:6; dist_to_depot:5; dist_from_current:4; ready_time:3; current_battery:2; arrival_time:2; current_time:2,1.0:3; -1.0:2; 0.0:1,"min(add(add(mul(sub(max(dist_to_depot, current_battery), min(due_time, arrival_time)), min(min(-1.0, energy_to_customer), max(due_time, ready_time))), current_time), ready_time), add(min(add(sub(min(dist_from_current, 1.0), energy_to_customer), protected_div(mul(add(sub(min(protected_div(mul(1.0, due_time), due_time), 1.0), min(arrival_time, dist_to_depot)), protected_div(mul(energy_to_customer, add(protected_div(dist_from_current, due_time), ready_time)), dist_to_depot)), max(energy_to_customer, sub(dist_from_current, min(min(-1.0, protected_div(energy_to_customer, 0.0)), current_time)))), dist_to_depot)), max(current_battery, dist_from_current)), protected_div(mul(energy_to_customer, due_time), dist_to_depot)))"
7,G-VRPTW-MD,False,92,919.9446386953742,16.53932586751345,2train/exp_Refined_2.csv,experiments/set_size/exp_Refined_2.jsonl,ok,147,73,63,11,sub:25; mul:16; add:13; max:10; protected_div:9,dist_from_current:13; due_time:12; arrival_time:9; savings:6; wait_time:4; ready_time:3; depot_rank:3; dist_to_depot:3; demand:3; route_urgency:3; current_time:2; energy_to_customer:1; depot_distance_advantage:1,0.0:10; 1.0:1,"add(ready_time, add(dist_from_current, sub(add(mul(arrival_time, dist_from_current), 0.0), add(sub(protected_div(depot_rank, wait_time), dist_from_current), sub(sub(add(mul(dist_from_current, sub(max(dist_to_depot, mul(demand, 1.0)), sub(0.0, sub(due_time, due_time)))), 0.0), sub(due_time, due_time)), max(mul(protected_div(arrival_time, sub(add(mul(savings, dist_from_current), 0.0), add(sub(protected_div(mul(arrival_time, dist_from_current), wait_time), sub(due_time, route_urgency)), sub(sub(add(mul(dist_from_current, sub(max(savings, mul(demand, current_time)), sub(protected_div(depot_rank, mul(protected_div(dist_to_depot, energy_to_customer), dist_from_current)), dist_from_current))), 0.0), max(add(due_time, max(dist_from_current, max(due_time, arrival_time))), 0.0)), max(mul(0.0, savings), 0.0))))), savings), protected_div(protected_div(max(mul(depot_distance_advantage, add(max(due_time, arrival_time), sub(add(mul(arrival_time, dist_from_current), 0.0), add(sub(protected_div(depot_rank, wait_time), sub(due_time, route_urgency)), sub(sub(add(mul(dist_from_current, sub(sub(arrival_time, due_time), sub(demand, sub(due_time, due_time)))), 0.0), mul(savings, dist_from_current)), max(mul(protected_div(arrival_time, wait_time), savings), dist_to_depot)))))), sub(current_time, arrival_time)), route_urgency), mul(ready_time, ready_time))))))))"
8,VRP,True,27,1277.1969174647488,12.115064602728445,2train/exp_train10_4.csv,experiments/train_size/exp_train10_4.jsonl,ok,85,42,36,7,add:24; sub:7; protected_div:6; max:4; min:1,dist_from_current:8; remaining_capacity:8; arrival_time:5; due_time:4; savings:3; battery_percentage:2; demand:2; depot_rank:1; tw_feasible:1; depot_relative_workload:1; depot_distance_advantage:1,1.0:4; 0.0:3,"sub(protected_div(1.0, add(add(battery_percentage, protected_div(max(sub(battery_percentage, sub(add(dist_from_current, 0.0), remaining_capacity)), add(sub(add(dist_from_current, sub(add(dist_from_current, arrival_time), protected_div(depot_rank, min(add(add(remaining_capacity, arrival_time), due_time), max(tw_feasible, depot_relative_workload))))), add(add(add(due_time, arrival_time), dist_from_current), add(add(add(add(add(0.0, add(due_time, remaining_capacity)), protected_div(max(depot_distance_advantage, add(sub(add(dist_from_current, sub(add(dist_from_current, arrival_time), 1.0)), add(add(0.0, max(savings, remaining_capacity)), protected_div(demand, add(dist_from_current, arrival_time)))), 1.0)), add(due_time, remaining_capacity))), remaining_capacity), savings), protected_div(demand, dist_from_current)))), 1.0)), remaining_capacity)), remaining_capacity)), savings)"
9,MDVRP,True,33,3456.3229922682663,10.293811744754306,mut_cross/exp_cx100_mu20_5.csv,,jsonl_not_found,,,,,,,,
