token_type,token,count
function,add,207
function,max,161
function,sub,149
function,min,114
function,protected_div,79
function,mul,71
terminal,dist_from_current,113
terminal,savings,103
terminal,energy_to_customer,91
terminal,wait_time,55
terminal,dist_to_depot,42
terminal,arrival_time,42
terminal,depot_rank,41
terminal,depot_distance_advantage,34
terminal,due_time,32
terminal,ready_time,24
terminal,remaining_capacity,23
terminal,demand,12
terminal,current_battery,11
terminal,tw_feasible,10
terminal,route_urgency,9
terminal,dist_to_nearest_charger,6
terminal,battery_percentage,5
terminal,current_time,4
terminal,battery_safety_margin,2
terminal,travel_time,2
terminal,depot_relative_workload,2
terminal,travel_distance,2
terminal,is_directly_reachable,2
constant,1.0,76
constant,-1.0,26
constant,0.0,26
