Idx,Variant,Cap,GP_Avg,LLM_Avg,NN_Avg,Savings_Avg
1,VRP,N,617.85,689.42,687.59,603.00
2,MDVRP,N,2603.86,3628.16,2919.82,2318.15
3,GVRP,N,556.91,603.48,626.10,606.45
4,GVRP-MD,N,589.28,629.40,612.38,572.09
5,VRPTW,N,6230.76,7052.07,9400.97,5986.77
6,MDVRPTW,N,3458.32,3957.63,4013.05,3299.57
7,G-VRPTW,N,1062.97,1133.75,1326.07,1106.76
8,G-VRPTW-MD,N,919.94,1065.63,1102.25,757.92
9,VRP,Y,1277.20,1525.25,1453.26,1094.05
10,MDVRP,Y,3456.32,4978.21,3852.94,2597.10
11,GVRP,Y,703.39,753.59,780.87,657.35
12,GVRP-MD,Y,676.42,719.94,733.88,588.77
13,VRPTW,Y,6684.00,8401.84,9509.66,6095.62
14,MDVRPTW,Y,3540.49,4515.55,4090.12,3302.71
15,G-VRPTW,Y,1071.53,1498.38,1326.07,1107.13
16,G-VRPTW-MD,Y,925.19,1089.05,1102.25,758.02
