index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,629.6416194103817,687.5874376461396,602.9983635084944,8.42741083724964,-4.418462389659865
1,MDVRP,False,33,2736.217486215262,2919.8180155287387,2318.1532523496135,6.288081254962365,-18.034365650412052
2,GVRP,False,92,572.76778144632,626.096262714317,606.4466079972321,8.517616929512075,5.553469358520326
3,GVRP-MD,False,92,606.9566101733711,612.3817849791292,572.0922725599376,0.8859138104414626,-6.094180831603676
4,VRPTW,False,120,7144.146310247761,9400.967810939004,5986.765024435872,24.00626771708756,-19.332331920291928
5,MDVRPTW,False,20,3622.648418749411,4013.0459991516655,3299.5682255914276,9.728210952099282,-9.791590022360378
6,G-VRPTW,False,92,1116.3374465685552,1326.0703103280764,1106.7636187250826,15.816119411317814,-0.8650291427632042
7,G-VRPTW-MD,False,92,955.9362149962941,1102.2492308593653,757.9208926120752,13.274041094045371,-26.126120062713266
8,VRP,True,27,1301.723644359539,1453.260347397832,1094.0534004986753,10.427361023758086,-18.981728292806057
9,MDVRP,True,33,3527.797865508706,3852.937082148458,2597.0987647894617,8.438736727526564,-35.83610732627231
10,GVRP,True,92,738.8782678997951,780.8664717208892,657.346377314294,5.377129809218168,-12.403185504515008
11,GVRP-MD,True,92,698.9171688423073,733.8781204489882,588.7721531977078,4.763863458048275,-18.7075789923803
12,VRPTW,True,120,7073.133464513797,9509.661093314602,6095.617845885498,25.621603176938784,-16.036366506934403
13,MDVRPTW,True,20,3793.681279521638,4090.123784081288,3302.7136374877773,7.247763642591957,-14.86558315141476
14,G-VRPTW,True,92,1356.98117958867,1326.0703103280764,1107.1268267155738,-2.3310128444807874,-22.567816698500533
15,G-VRPTW-MD,True,92,1038.006913214528,1102.2492308593653,758.023620323214,5.828293261293642,-36.93595890480717
