index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,623.0297790692923,687.5874376461396,602.9983635084944,9.389010770448557,-3.321968478363159
1,MDVRP,False,33,2678.1952796011756,2919.8180155287387,2318.1532523496135,8.2752669735757,-15.531416091090348
2,GVRP,False,92,601.282530305383,626.096262714317,606.4466079972321,3.963245572072091,0.851530476673502
3,GVRP-MD,False,92,605.3802658078935,612.3817849791292,572.0922725599376,1.143325837406208,-5.818640601279641
4,VRPTW,False,120,6718.524810711014,9400.967810939004,5986.765024435872,28.533689872937217,-12.222958196761613
5,MDVRPTW,False,20,3724.0424830621387,4013.0459991516655,3299.5682255914276,7.201599885738176,-12.864539492727921
6,G-VRPTW,False,92,1258.7421158177096,1326.0703103280764,1106.7636187250826,5.077271844937801,-13.73179372011669
7,G-VRPTW-MD,False,92,949.0955034064416,1102.2492308593653,757.9208926120752,13.894654962337135,-25.223557320805345
8,VRP,True,27,1301.723644359539,1453.260347397832,1094.0534004986753,10.427361023758086,-18.981728292806057
9,MDVRP,True,33,3852.937082148458,3852.937082148458,2597.0987647894617,0.0,-48.35543162182371
10,GVRP,True,92,727.0742633338102,780.8664717208892,657.346377314294,6.8887844894314165,-10.607480078372364
11,GVRP-MD,True,92,688.622809620743,733.8781204489882,588.7721531977078,6.166597636206653,-16.959133661592475
12,VRPTW,True,120,7908.5602639844965,9509.661093314602,6095.617845885498,16.836570868500218,-29.74173355245231
13,MDVRPTW,True,20,3689.4055810371233,4090.123784081288,3302.7136374877773,9.79721456362164,-11.708309771702908
14,G-VRPTW,True,92,1103.1069615308559,1326.0703103280764,1107.1268267155738,16.81384064334102,0.36308985454207804
15,G-VRPTW-MD,True,92,954.6307822856863,1102.2492308593653,758.023620323214,13.392474627411504,-25.936812084911143
