index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,630.3067019650618,687.5874376461396,602.9983635084944,8.330683858502482,-4.52875830336855
1,MDVRP,False,33,2815.0875799543896,2919.8180155287387,2318.1532523496135,3.5868822994224794,-21.436646912843134
2,GVRP,False,92,566.5319344139805,626.096262714317,606.4466079972321,9.513605470524157,6.581729216866828
3,GVRP-MD,False,92,604.7784050521934,612.3817849791292,572.0922725599376,1.2416077867493875,-5.713437160406912
4,VRPTW,False,120,6578.205637834201,9400.967810939004,5986.765024435872,30.02629335482061,-9.87913524222642
5,MDVRPTW,False,20,3764.8813604201896,4013.0459991516655,3299.5682255914276,6.183947026371898,-14.102243172903552
6,G-VRPTW,False,92,1128.2245017748955,1326.0703103280764,1106.7636187250826,14.919707274362612,-1.9390665438148835
7,G-VRPTW-MD,False,92,954.5722751020804,1102.2492308593653,757.9208926120752,13.397782608761629,-25.94616198166433
8,VRP,True,27,1345.7720836090696,1453.260347397832,1094.0534004986753,7.396352895833699,-23.007897328929246
9,MDVRP,True,33,3766.318861625143,3852.937082148458,2597.0987647894617,2.2481088758141676,-45.020239995781075
10,GVRP,True,92,724.3204527941698,780.8664717208892,657.346377314294,7.241445365441565,-10.188551696825392
11,GVRP-MD,True,92,695.8679176897898,733.8781204489882,588.7721531977078,5.179361763223523,-18.189678963318702
12,VRPTW,True,120,7291.423297256672,9509.661093314602,6095.617845885498,23.32614984163185,-19.617460963015173
13,MDVRPTW,True,20,3805.297816460034,4090.123784081288,3302.7136374877773,6.963749330271934,-15.217310192068284
14,G-VRPTW,True,92,1276.9780496799096,1326.0703103280764,1107.1268267155738,3.702085799358639,-15.341622916700533
15,G-VRPTW-MD,True,92,940.034932471334,1102.2492308593653,758.023620323214,14.716662425027183,-24.011298232436616
