index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,629.4387812858148,687.5874376461396,602.9983635084944,8.456910812592605,-4.384824135090359
1,MDVRP,False,33,2713.1083615592634,2919.8180155287387,2318.1532523496135,7.079538959966417,-17.037489165538762
2,GVRP,False,92,563.7880895781262,626.096262714317,606.4466079972321,9.951851951018842,7.034175450330923
3,GVRP-MD,False,92,607.830023775024,612.3817849791292,572.0922725599376,0.7432881440554848,-6.24685088913558
4,VRPTW,False,120,6783.965970995,9400.967810939004,5986.765024435872,27.837578987334155,-13.3160553872623
5,MDVRPTW,False,20,3643.3470830974925,4013.0459991516655,3299.5682255914276,9.212426574036908,-10.418904353597497
6,G-VRPTW,False,92,1122.8136901006342,1326.0703103280764,1106.7636187250826,15.327740817691298,-1.4501806080362698
7,G-VRPTW-MD,False,92,986.329793707817,1102.2492308593653,757.9208926120752,10.516626721632827,-30.136245526701384
8,VRP,True,27,1385.5603081148608,1453.260347397832,1094.0534004986753,4.6584935317469425,-26.64466903382551
9,MDVRP,True,33,4070.716704628492,3852.937082148458,2597.0987647894617,-5.6523015516930455,-56.740927985404966
10,GVRP,True,92,723.9045114299363,780.8664717208892,657.346377314294,7.294712009521806,-10.125275868648943
11,GVRP-MD,True,92,698.6936312110882,733.8781204489882,588.7721531977078,4.794323233996128,-18.66961224582053
12,VRPTW,True,120,6849.9081904617,9509.661093314602,6095.617845885498,27.968955746727275,-12.374305011350774
13,MDVRPTW,True,20,3776.051247824572,4090.123784081288,3302.7136374877773,7.678802716902662,-14.331778721719294
14,G-VRPTW,True,92,1098.0537024468765,1326.0703103280764,1107.1268267155738,17.194910865984735,0.8195198643694491
15,G-VRPTW-MD,True,92,958.8160230625051,1102.2492308593653,758.023620323214,13.012774586835766,-26.488937462618267
