index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,630.3067019650618,687.5874376461396,602.9983635084944,8.330683858502482,-4.52875830336855
1,MDVRP,False,33,2706.813330316499,2919.8180155287387,2318.1532523496135,7.2951356584347735,-16.765935451978894
2,GVRP,False,92,567.0382281785552,626.096262714317,606.4466079972321,9.432740307333473,6.498243917765771
3,GVRP-MD,False,92,606.8935949860761,612.3817849791292,572.0922725599376,0.8962039903326205,-6.083165967338326
4,VRPTW,False,120,6900.424066372559,9400.967810939004,5986.765024435872,26.598790622990993,-15.261314553142663
5,MDVRPTW,False,20,3649.2724452066336,4013.0459991516655,3299.5682255914276,9.064774089854225,-10.598484277515544
6,G-VRPTW,False,92,1300.500708138173,1326.0703103280764,1106.7636187250826,1.9282237141390632,-17.504829950614255
7,G-VRPTW-MD,False,92,956.87811794984,1102.2492308593653,757.9208926120752,13.18858828290469,-26.250394635789053
8,VRP,True,27,1330.6881269998373,1453.260347397832,1094.0534004986753,8.43429194345453,-21.629175174932293
9,MDVRP,True,33,3778.4215397101416,3852.937082148458,2597.0987647894617,1.9339932329433596,-45.48624761355373
10,GVRP,True,92,716.6317649501227,780.8664717208892,657.346377314294,8.226080782954446,-9.018896229115873
11,GVRP-MD,True,92,705.2746935774404,733.8781204489882,588.7721531977078,3.8975718276010354,-19.78737271234556
12,VRPTW,True,120,7390.728374608864,9509.661093314602,6095.617845885498,22.281895200191425,-21.246583389369743
13,MDVRPTW,True,20,3780.9873116848685,4090.123784081288,3302.7136374877773,7.558120211412053,-14.481233515627833
14,G-VRPTW,True,92,1142.014607062669,1326.0703103280764,1107.1268267155738,13.87978464127374,-3.1511999804569903
15,G-VRPTW-MD,True,92,1047.742814108234,1102.2492308593653,758.023620323214,4.945017444796548,-38.220338524739695
