index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,664.6800182674781,687.5874376461396,602.9983635084944,3.331564558113788,-10.229157903529657
1,MDVRP,False,33,2721.988212389249,2919.8180155287387,2318.1532523496135,6.775415525466079,-17.42054627451054
2,GVRP,False,92,585.0972477370816,626.096262714317,606.4466079972321,6.548356445938887,3.520402287458748
3,GVRP-MD,False,92,598.9553179568475,612.3817849791292,572.0922725599376,2.192499409945596,-4.695579137383908
4,VRPTW,False,120,6992.16777573634,9400.967810939004,5986.765024435872,25.622894191806232,-16.793756681559532
5,MDVRPTW,False,20,3811.3034442596363,4013.0459991516655,3299.5682255914276,5.027167765699081,-15.509157067861
6,G-VRPTW,False,92,1168.4926498380942,1326.0703103280764,1106.7636187250826,11.883054711555735,-5.577435874167902
7,G-VRPTW-MD,False,92,929.4303662363985,1102.2492308593653,757.9208926120752,15.67874667403751,-22.628941264996445
8,VRP,True,27,1326.3119647463275,1453.260347397832,1094.0534004986753,8.735419147630003,-21.22917986834898
9,MDVRP,True,33,3929.683386300563,3852.937082148458,2597.0987647894617,-1.9918909267345237,-51.31051000361666
10,GVRP,True,92,713.4742728193185,780.8664717208892,657.346377314294,8.630438281342833,-8.538557059421997
11,GVRP-MD,True,92,697.7068311287873,733.8781204489882,588.7721531977078,4.9287869895986605,-18.502009196501447
12,VRPTW,True,120,7472.153137722108,9509.661093314602,6095.617845885498,21.425663181886524,-22.58237518557306
13,MDVRPTW,True,20,3828.845457936689,4090.123784081288,3302.7136374877773,6.388029799036668,-15.930288792736993
14,G-VRPTW,True,92,1133.904908967157,1326.0703103280764,1107.1268267155738,14.491343322012588,-2.418700514287398
15,G-VRPTW-MD,True,92,967.0526435943036,1102.2492308593653,758.023620323214,12.265518857260265,-27.57552900290385
