index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,630.3067019650618,687.5874376461396,602.9983635084944,8.330683858502482,-4.52875830336855
1,MDVRP,False,33,2731.1404570393956,2919.8180155287387,2318.1532523496135,6.461962954056784,-17.815353849931633
2,GVRP,False,92,581.1635897115948,626.096262714317,606.4466079972321,7.176639708393323,4.16904274048685
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,7118.429514860696,9400.967810939004,5986.765024435872,24.279822481918696,-18.902771126071713
5,MDVRPTW,False,20,3733.840056888826,4013.0459991516655,3299.5682255914276,6.957456812652085,-13.16147452048996
6,G-VRPTW,False,92,1151.2904896878006,1326.0703103280764,1106.7636187250826,13.18028307239866,-4.023159978280637
7,G-VRPTW-MD,False,92,960.6945548851728,1102.2492308593653,757.9208926120752,12.842347448392394,-26.75393490925744
8,VRP,True,27,1300.7986191853574,1453.260347397832,1094.0534004986753,10.491012741486296,-18.897178016397245
9,MDVRP,True,33,3848.1123801557715,3852.937082148458,2597.0987647894617,0.12522140615896876,-48.169658864233654
10,GVRP,True,92,712.4166117620084,780.8664717208892,657.346377314294,8.765885389857962,-8.377658468692509
11,GVRP-MD,True,92,703.8813583151237,733.8781204489882,588.7721531977078,4.087431045840737,-19.550721699768072
12,VRPTW,True,120,7266.056635682053,9509.661093314602,6095.617845885498,23.592896062403614,-19.201315098626022
13,MDVRPTW,True,20,3735.884075573768,4090.123784081288,3302.7136374877773,8.66085544614118,-13.115591771846239
14,G-VRPTW,True,92,1071.5284030222672,1326.0703103280764,1107.1268267155738,19.195204456604888,3.215388050790317
15,G-VRPTW-MD,True,92,953.5286376383747,1102.2492308593653,758.023620323214,13.492465139217295,-25.79141494717529
