index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,621.1803638758006,687.5874376461396,602.9983635084944,9.657982408415496,-3.0152652921835053
1,MDVRP,False,33,2892.6608769911004,2919.8180155287387,2318.1532523496135,0.9300969578653858,-24.78298723603293
2,GVRP,False,92,565.0486284216206,626.096262714317,606.4466079972321,9.750518878364877,6.826318925639121
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,6955.492689170029,9400.967810939004,5986.765024435872,26.0130145209455,-16.181153941738998
5,MDVRPTW,False,20,3542.037658883289,4013.0459991516655,3299.5682255914276,11.736928516840942,-7.348520070331337
6,G-VRPTW,False,92,1103.250107391297,1326.0703103280764,1106.7636187250826,16.803045901966737,0.31745815225051416
7,G-VRPTW-MD,False,92,932.7782288035398,1102.2492308593653,757.9208926120752,15.375016585286968,-23.07065788737419
8,VRP,True,27,1350.4849269206445,1453.260347397832,1094.0534004986753,7.072058400355746,-23.43866636720716
9,MDVRP,True,33,3838.270385263401,3852.937082148458,2597.0987647894617,0.3806627664129642,-47.790697731688184
10,GVRP,True,92,725.8573637003589,780.8664717208892,657.346377314294,7.044624146725131,-10.42235703282928
11,GVRP-MD,True,92,716.7418026011187,733.8781204489882,588.7721531977078,2.3350359372187617,-21.735003720605505
12,VRPTW,True,120,7160.418761630866,9509.661093314602,6095.617845885498,24.70374399919761,-17.46830169913131
13,MDVRPTW,True,20,3641.732426811308,4090.123784081288,3302.7136374877773,10.962782080462052,-10.26485570760554
14,G-VRPTW,True,92,1085.1541647264903,1326.0703103280764,1107.1268267155738,18.16767510178116,1.9846562705257567
15,G-VRPTW-MD,True,92,961.4824228906626,1102.2492308593653,758.023620323214,12.770869239704913,-26.84069428874733
