index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,621.4514463757806,687.5874376461396,602.9983635084944,9.618557240773102,-3.060221052660657
1,MDVRP,False,33,2847.4771066636986,2919.8180155287387,2318.1532523496135,2.4775827972943083,-22.833859399829485
2,GVRP,False,92,585.4339219671633,626.096262714317,606.4466079972321,6.494582889038527,3.464886397742823
3,GVRP-MD,False,92,608.4441623501712,612.3817849791292,572.0922725599376,0.6430012658022191,-6.354200455735931
4,VRPTW,False,120,6246.208174159193,9400.967810939004,5986.765024435872,33.55781766542079,-4.33361170288737
5,MDVRPTW,False,20,3522.3865619129183,4013.0459991516655,3299.5682255914276,12.226608848801376,-6.752954359098057
6,G-VRPTW,False,92,1097.3076711486265,1326.0703103280764,1106.7636187250826,17.251169670094864,0.8543782445025344
7,G-VRPTW-MD,False,92,955.0512045926918,1102.2492308593653,757.9208926120752,13.354332409187625,-26.0093518864789
8,VRP,True,27,1319.922884677077,1453.260347397832,1094.0534004986753,9.175056827188973,-20.64519739854099
9,MDVRP,True,33,3725.3223783759454,3852.937082148458,2597.0987647894617,3.3121408694624406,-43.441690739009886
10,GVRP,True,92,721.4637386752873,780.8664717208892,657.346377314294,7.607284368950931,-9.753968923196355
11,GVRP-MD,True,92,709.5332121232959,733.8781204489882,588.7721531977078,3.317295835280929,-20.51066074876625
12,VRPTW,True,120,7035.384601923229,9509.661093314602,6095.617845885498,26.018555941292348,-15.417087812879654
13,MDVRPTW,True,20,3973.403610541357,4090.123784081288,3302.7136374877773,2.853707606459352,-20.307239641997626
14,G-VRPTW,True,92,1128.0966848398325,1326.0703103280764,1107.1268267155738,14.929346049476383,-1.8940791260987115
15,G-VRPTW-MD,True,92,948.5596582651273,1102.2492308593653,758.023620323214,13.943268753693246,-25.13589719812036
