index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,625.3033288649348,687.5874376461396,602.9983635084944,9.058354671869205,-3.699009268725175
1,MDVRP,False,33,2631.0984666079385,2919.8180155287387,2318.1532523496135,9.888272056178717,-13.499763828863893
2,GVRP,False,92,607.3467268948359,626.096262714317,606.4466079972321,2.994673013730543,-0.14842508569326013
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,6338.3447726312115,9400.967810939004,5986.765024435872,32.577741993160664,-5.872616459144705
5,MDVRPTW,False,20,3687.532363676378,4013.0459991516655,3299.5682255914276,8.111385604453558,-11.758027461772215
6,G-VRPTW,False,92,1126.3142285768713,1326.0703103280764,1106.7636187250826,15.063762471371858,-1.7664666168110712
7,G-VRPTW-MD,False,92,967.5354490204539,1102.2492308593653,757.9208926120752,12.221717018925217,-27.656521736189315
8,VRP,True,27,1277.1969174647488,1453.260347397832,1094.0534004986753,12.115064602728445,-16.739906560556893
9,MDVRP,True,33,3821.7587551847655,3852.937082148458,2597.0987647894617,0.8092093459856623,-47.154925603862544
10,GVRP,True,92,775.4734556404744,780.8664717208892,657.346377314294,0.6906451071627578,-17.970294262335425
11,GVRP-MD,True,92,700.6408587781948,733.8781204489882,588.7721531977078,4.528989316435643,-19.000339090921965
12,VRPTW,True,120,7395.738545184044,9509.661093314602,6095.617845885498,22.229210141007755,-21.328776379512014
13,MDVRPTW,True,20,3636.805158442318,4090.123784081288,3302.7136374877773,11.083249543773725,-10.115667224745184
14,G-VRPTW,True,92,1117.8484819130922,1326.0703103280764,1107.1268267155738,15.702171053318365,-0.9684215880962367
15,G-VRPTW-MD,True,92,947.0047261234225,1102.2492308593653,758.023620323214,14.08433776949945,-24.93076742379463
