index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,627.4943990402835,687.5874376461396,602.9983635084944,8.739694083355612,-4.062371809644884
1,MDVRP,False,33,2759.2813639242454,2919.8180155287387,2318.1532523496135,5.498173199517789,-19.02929028214667
2,GVRP,False,92,559.1965544567656,626.096262714317,606.4466079972321,10.685211243319184,7.791296532518849
3,GVRP-MD,False,92,607.9649221410908,612.3817849791292,572.0922725599376,0.7212596694378961,-6.270430715771454
4,VRPTW,False,120,6897.311766314829,9400.967810939004,5986.765024435872,26.631896789508325,-15.209328212522536
5,MDVRPTW,False,20,3699.801940693406,4013.0459991516655,3299.5682255914276,7.805643357302099,-12.129881479575676
6,G-VRPTW,False,92,1113.577922267009,1326.0703103280764,1106.7636187250826,16.024217298741554,-0.615696380567335
7,G-VRPTW-MD,False,92,1001.2182027293749,1102.2492308593653,757.9208926120752,9.165896904389028,-32.10062059099694
8,VRP,True,27,1302.692628947475,1453.260347397832,1094.0534004986753,10.36068442381707,-19.07029660103436
9,MDVRP,True,33,3754.876793358191,3852.937082148458,2597.0987647894617,2.5450789021342373,-44.57966883144649
10,GVRP,True,92,724.1422164885689,780.8664717208892,657.346377314294,7.264270817942819,-10.16143717824706
11,GVRP-MD,True,92,706.9859134471486,733.8781204489882,588.7721531977078,3.664396887236104,-20.078014832631705
12,VRPTW,True,120,7104.967259510982,9509.661093314602,6095.617845885498,25.286851026627506,-16.55860716903026
13,MDVRPTW,True,20,3823.784366272571,4090.123784081288,3302.7136374877773,6.511769126531249,-15.777048390460765
14,G-VRPTW,True,92,1128.9702145355977,1326.0703103280764,1107.1268267155738,14.86347249141828,-1.9729797248997234
15,G-VRPTW-MD,True,92,935.5114372223891,1102.2492308593653,758.023620323214,15.127050123408079,-23.41454964470579
