index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,621.1803638758006,687.5874376461396,602.9983635084944,9.657982408415496,-3.0152652921835053
1,MDVRP,False,33,2698.5371019017934,2919.8180155287387,2318.1532523496135,7.578585803981154,-16.408917277864777
2,GVRP,False,92,607.4294420074174,626.096262714317,606.4466079972321,2.9814617685103797,-0.1620643923512084
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,7027.761895533831,9400.967810939004,5986.765024435872,25.244272325278054,-17.3883034802431
5,MDVRPTW,False,20,3765.0530343854794,4013.0459991516655,3299.5682255914276,6.1796691295990716,-14.107446095030099
6,G-VRPTW,False,92,1158.5252026807668,1326.0703103280764,1106.7636187250826,12.634707703082357,-4.676841836860354
7,G-VRPTW-MD,False,92,1000.8045414638126,1102.2492308593653,757.9208926120752,9.203425736705812,-32.04604216868473
8,VRP,True,27,1297.4358068138981,1453.260347397832,1094.0534004986753,10.722410534557625,-18.589806148632242
9,MDVRP,True,33,3806.1520019192453,3852.937082148458,2597.0987647894617,1.2142705482001976,-46.553995308984625
10,GVRP,True,92,725.9102542971738,780.8664717208892,657.346377314294,7.037850825199578,-10.430403110002626
11,GVRP-MD,True,92,701.7762403172875,733.8781204489882,588.7721531977078,4.374279493720386,-19.19317795616487
12,VRPTW,True,120,7080.458122960119,9509.661093314602,6095.617845885498,25.544579838520637,-16.156529198092386
13,MDVRPTW,True,20,3752.3769692878936,4090.123784081288,3302.7136374877773,8.257618415068528,-13.614965787410943
14,G-VRPTW,True,92,1152.8647574970212,1326.0703103280764,1107.1268267155738,13.061566304746187,-4.131227757991786
15,G-VRPTW-MD,True,92,976.5570698494886,1102.2492308593653,758.023620323214,11.403243249431092,-28.829372023142763
