index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,618.1630376523243,687.5874376461396,602.9983635084944,10.09681041170271,-2.5148781591372007
1,MDVRP,False,33,2724.8398407529885,2919.8180155287387,2318.1532523496135,6.677750933064311,-17.54355920995168
2,GVRP,False,92,614.806105914456,626.096262714317,606.4466079972321,1.8032621295189974,-1.378439223995462
3,GVRP-MD,False,92,596.080782551109,612.3817849791292,572.0922725599376,2.6619019095376495,-4.19311903721933
4,VRPTW,False,120,6809.11653965586,9400.967810939004,5986.765024435872,27.570047290952914,-13.736158206701582
5,MDVRPTW,False,20,3681.4783335677575,4013.0459991516655,3299.5682255914276,8.262244331462918,-11.574547997348196
6,G-VRPTW,False,92,1094.3638685993626,1326.0703103280764,1106.7636187250826,17.473164124411205,1.120361196910649
7,G-VRPTW-MD,False,92,964.4772753426614,1102.2492308593653,757.9208926120752,12.499165493569036,-27.25302663431227
8,VRP,True,27,1304.8313855552103,1453.260347397832,1094.0534004986753,10.213514881101277,-19.26578583462757
9,MDVRP,True,33,3908.689815439872,3852.937082148458,2597.0987647894617,-1.447019042945937,-50.50216296863614
10,GVRP,True,92,724.9343735445633,780.8664717208892,657.346377314294,7.162824913337823,-10.281945495221573
11,GVRP-MD,True,92,698.9483763760676,733.8781204489882,588.7721531977078,4.759611044344869,-18.712879435614713
12,VRPTW,True,120,7066.775670734105,9509.661093314602,6095.617845885498,25.688459332140372,-15.932065450988397
13,MDVRPTW,True,20,3839.426547315618,4090.123784081288,3302.7136374877773,6.129331286778667,-16.250664415341003
14,G-VRPTW,True,92,1140.7655479958016,1326.0703103280764,1107.1268267155738,13.973977163128662,-3.0383801086295783
15,G-VRPTW-MD,True,92,1018.6249505536781,1102.2492308593653,758.023620323214,7.586694366798493,-34.37905142313985
