index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,628.4237862552122,687.5874376461396,602.9983635084944,8.604527679194657,-4.216499460924264
1,MDVRP,False,33,2849.663108612031,2919.8180155287387,2318.1532523496135,2.4027150508557837,-22.92815868509532
2,GVRP,False,92,574.95154971822,626.096262714317,606.4466079972321,8.168825792757364,5.193376937670314
3,GVRP-MD,False,92,607.8227511032337,612.3817849791292,572.0922725599376,0.7444757482541458,-6.245579648089498
4,VRPTW,False,120,6827.278399493729,9400.967810939004,5986.765024435872,27.376855906798447,-14.039525046117172
5,MDVRPTW,False,20,3803.5910801496634,4013.0459991516655,3299.5682255914276,5.219350065917001,-15.275418482001319
6,G-VRPTW,False,92,1148.5647924171549,1326.0703103280764,1106.7636187250826,13.385830036946214,-3.7768836077413237
7,G-VRPTW-MD,False,92,927.7012842671309,1102.2492308593653,757.9208926120752,15.835615186245008,-22.400806378345063
8,VRP,True,27,1433.3755363025805,1453.260347397832,1094.0534004986753,1.3682896619904825,-31.015134695366825
9,MDVRP,True,33,4323.859764757956,3852.937082148458,2597.0987647894617,-12.222433758168311,-66.48807597844579
10,GVRP,True,92,720.6004224321659,780.8664717208892,657.346377314294,7.717843123153659,-9.62263538688805
11,GVRP-MD,True,92,697.0936090218345,733.8781204489882,588.7721531977078,5.0123461106387595,-18.397856494370025
12,VRPTW,True,120,7156.267041762445,9509.661093314602,6095.617845885498,24.747401915370247,-17.400191788480928
13,MDVRPTW,True,20,3800.052711874635,4090.123784081288,3302.7136374877773,7.091987615035173,-15.058498222242504
14,G-VRPTW,True,92,1173.9570416823362,1326.0703103280764,1107.1268267155738,11.470980645672293,-6.036364881973136
15,G-VRPTW-MD,True,92,967.0456524282075,1102.2492308593653,758.023620323214,12.266153120900498,-27.574606714216703
