category,token,count
function,protected_div,1401
function,max,1168
function,add,791
function,mul,635
function,min,376
function,sub,232
terminal,dist_from_current,708
terminal,savings,414
terminal,dist_to_depot,381
terminal,remaining_capacity,360
terminal,slack_to_due,285
terminal,wait_time,269
terminal,demand,249
terminal,energy_to_customer,225
terminal,battery_percentage,191
terminal,arrival_time,155
terminal,depot_rank,131
terminal,load_percentage,115
terminal,due_time,96
terminal,current_battery,82
terminal,depot_distance_advantage,79
terminal,route_urgency,65
terminal,dist_to_nearest_charger,63
terminal,ready_time,31
terminal,current_time,17
constant,1.0,1035
constant,0.0,233
constant,0.1,102
constant,0.01,37
constant,-1.0,30
constant,0.5,12
constant,100.0,6
constant,0.2,6
constant,0.0001,5
constant,0.3,5
constant,1000.0,2
constant,10.0,2
constant,-0.3,2
constant,-0.05,1
constant,-0.1,1
constant,0.001,1
