category,token,count
function,protected_div,23
function,max,20
function,add,18
function,mul,6
function,min,5
function,sub,3
terminal,dist_from_current,16
terminal,dist_to_depot,8
terminal,remaining_capacity,8
terminal,savings,7
terminal,slack_to_due,7
terminal,wait_time,6
terminal,energy_to_customer,5
terminal,battery_percentage,3
terminal,demand,3
terminal,depot_rank,1
terminal,current_battery,1
terminal,depot_distance_advantage,1
terminal,arrival_time,1
terminal,due_time,1
constant,1.0,14
constant,0.1,4
constant,0.0,3
constant,0.001,1
constant,0.01,1
