row_index,variant_name,functions_count,terminals_count,constants_count,size_total
0,CVRP,3,3,1,7
1,CVRP,3,3,1,7
2,CVRP,3,3,1,7
3,CVRP,2,3,0,5
4,CVRP,3,3,1,7
5,CVRP,3,3,1,7
6,CVRP,4,5,0,9
7,CVRP,3,3,1,7
8,CVRP,6,6,1,13
9,CVRP,7,6,2,15
10,CVRP,3,3,1,7
11,CVRP,3,3,1,7
12,CVRP,3,3,1,7
13,CVRP,6,5,2,13
14,CVRP,3,3,1,7
15,CVRP,3,3,1,7
16,CVRP,3,3,1,7
17,CVRP,4,3,2,9
18,CVRP,3,3,1,7
19,CVRP,3,2,2,7
20,CVRP,4,3,2,9
21,CVRP,3,3,1,7
22,CVRP,5,4,2,11
23,CVRP,3,2,2,7
24,CVRP,3,3,1,7
25,CVRP,5,5,1,11
26,CVRP,3,3,1,7
27,CVRP,3,3,1,7
28,CVRP,3,3,1,7
29,CVRP,4,3,2,9
30,MDCVRP,2,2,1,5
31,MDCVRP,4,4,1,9
32,MDCVRP,3,3,1,7
33,MDCVRP,3,3,1,7
34,MDCVRP,3,3,1,7
35,MDCVRP,3,4,0,7
36,MDCVRP,4,5,0,9
37,MDCVRP,4,4,1,9
38,MDCVRP,4,4,1,9
39,MDCVRP,3,3,1,7
40,MDCVRP,4,4,1,9
41,MDCVRP,6,5,2,13
42,MDCVRP,4,3,2,9
43,MDCVRP,4,4,1,9
44,MDCVRP,3,3,1,7
45,MDCVRP,4,3,2,9
46,MDCVRP,4,4,1,9
47,MDCVRP,3,3,1,7
48,MDCVRP,5,4,2,11
49,MDCVRP,3,3,1,7
50,MDCVRP,3,3,1,7
51,MDCVRP,3,4,0,7
52,MDCVRP,6,6,1,13
53,MDCVRP,3,4,0,7
54,MDCVRP,4,4,1,9
55,MDCVRP,3,3,1,7
56,MDCVRP,4,5,0,9
57,MDCVRP,5,5,1,11
58,MDCVRP,6,6,1,13
59,MDCVRP,3,3,1,7
60,GVRP,8,6,3,17
61,GVRP,3,4,0,7
62,GVRP,3,3,1,7
63,GVRP,5,6,0,11
64,GVRP,3,3,1,7
65,GVRP,4,3,2,9
66,GVRP,6,4,3,13
67,GVRP,10,7,4,21
68,GVRP,3,3,1,7
69,GVRP,5,4,2,11
70,GVRP,7,6,2,15
71,GVRP,6,5,2,13
72,GVRP,2,2,1,5
73,GVRP,4,4,1,9
74,GVRP,5,3,3,11
75,GVRP,7,5,3,15
76,GVRP,3,3,1,7
77,GVRP,5,4,2,11
78,GVRP,5,4,2,11
79,GVRP,5,4,2,11
80,GVRP,6,6,1,13
81,GVRP,10,7,4,21
82,GVRP,5,5,1,11
83,GVRP,4,5,3,12
84,GVRP,5,6,0,11
85,GVRP,6,5,2,13
86,GVRP,4,3,2,9
87,GVRP,4,4,1,9
88,GVRP,4,4,1,9
89,GVRP,5,5,1,11
90,GVRP-MD,5,5,1,11
91,GVRP-MD,6,6,1,13
92,GVRP-MD,9,8,4,21
93,GVRP-MD,6,5,2,13
94,GVRP-MD,4,4,1,9
95,GVRP-MD,8,6,3,17
96,GVRP-MD,7,5,3,15
97,GVRP-MD,4,4,1,9
98,GVRP-MD,5,5,1,11
99,GVRP-MD,7,5,3,15
100,GVRP-MD,6,5,2,13
101,GVRP-MD,9,7,3,19
102,GVRP-MD,6,5,2,13
103,GVRP-MD,7,7,1,15
104,GVRP-MD,7,4,4,15
105,GVRP-MD,7,6,2,15
106,GVRP-MD,7,8,0,15
107,GVRP-MD,6,7,0,13
108,GVRP-MD,5,4,2,11
109,GVRP-MD,4,4,1,9
110,GVRP-MD,5,4,2,11
111,GVRP-MD,3,3,1,7
112,GVRP-MD,4,4,1,9
113,GVRP-MD,11,5,7,23
114,GVRP-MD,4,4,1,9
115,GVRP-MD,4,3,2,9
116,GVRP-MD,6,6,1,13
117,GVRP-MD,7,6,2,15
118,GVRP-MD,5,4,2,11
119,GVRP-MD,10,9,2,21
120,VRPTW,5,5,1,11
121,VRPTW,6,4,3,13
122,VRPTW,8,6,3,17
123,VRPTW,4,4,1,9
124,VRPTW,5,4,2,11
125,VRPTW,8,7,2,17
126,VRPTW,4,4,1,9
127,VRPTW,2,1,2,5
128,VRPTW,11,8,4,23
129,VRPTW,6,5,2,13
130,VRPTW,4,4,1,9
131,VRPTW,5,4,2,11
132,VRPTW,2,1,2,5
133,VRPTW,8,5,4,17
134,VRPTW,8,6,3,17
135,VRPTW,5,3,3,11
136,VRPTW,6,5,2,13
137,VRPTW,6,6,1,13
138,VRPTW,5,5,1,11
139,VRPTW,7,7,1,15
140,VRPTW,5,5,1,11
141,VRPTW,3,3,1,7
142,VRPTW,3,2,2,7
143,VRPTW,7,7,1,15
144,VRPTW,10,6,5,21
145,VRPTW,2,1,2,5
146,VRPTW,8,6,3,17
147,VRPTW,6,4,3,13
148,VRPTW,9,7,3,19
149,VRPTW,7,4,4,15
150,MDVRPTW,5,3,3,11
151,MDVRPTW,3,2,2,7
152,MDVRPTW,4,4,1,9
153,MDVRPTW,6,5,2,13
154,MDVRPTW,2,2,1,5
155,MDVRPTW,8,5,4,17
156,MDVRPTW,3,3,1,7
157,MDVRPTW,3,3,1,7
158,MDVRPTW,7,7,1,15
159,MDVRPTW,5,5,1,11
160,MDVRPTW,9,7,3,19
161,MDVRPTW,5,6,0,11
162,MDVRPTW,5,5,1,11
163,MDVRPTW,6,5,2,13
164,MDVRPTW,6,5,2,13
165,MDVRPTW,16,17,0,33
166,MDVRPTW,7,6,2,15
167,MDVRPTW,4,3,2,9
168,MDVRPTW,7,6,2,15
169,MDVRPTW,6,5,2,13
170,MDVRPTW,5,4,2,11
171,MDVRPTW,9,6,4,19
172,MDVRPTW,7,7,2,16
173,MDVRPTW,6,5,2,13
174,MDVRPTW,6,5,2,13
175,MDVRPTW,5,4,2,11
176,MDVRPTW,12,8,5,25
177,MDVRPTW,7,5,3,15
178,MDVRPTW,5,2,4,11
179,G-VRPTW,5,4,2,11
180,G-VRPTW,7,6,2,15
181,G-VRPTW,6,6,1,13
182,G-VRPTW,9,6,4,19
183,G-VRPTW,7,5,3,15
184,G-VRPTW,6,6,1,13
185,G-VRPTW,4,5,0,9
186,G-VRPTW,4,4,1,9
187,G-VRPTW,7,6,2,15
188,G-VRPTW,17,6,12,35
189,G-VRPTW,8,9,0,17
190,G-VRPTW,5,5,1,11
191,G-VRPTW,11,7,5,23
192,G-VRPTW,16,14,3,33
193,G-VRPTW,4,4,1,9
194,G-VRPTW,6,5,2,13
195,G-VRPTW,6,5,2,13
196,G-VRPTW,7,6,2,15
197,G-VRPTW,9,9,1,19
198,G-VRPTW,5,4,2,11
199,G-VRPTW,7,5,3,15
200,G-VRPTW,7,6,2,15
201,G-VRPTW,5,6,0,11
202,G-VRPTW,7,5,3,15
203,G-VRPTW,6,4,3,13
204,G-VRPTW,10,8,3,21
205,G-VRPTW,2,2,1,5
206,G-VRPTW-MD,7,5,3,15
207,G-VRPTW-MD,7,4,4,15
208,G-VRPTW-MD,6,6,1,13
209,G-VRPTW-MD,14,10,5,29
210,G-VRPTW-MD,7,6,2,15
211,G-VRPTW-MD,8,7,2,17
212,G-VRPTW-MD,7,6,2,15
213,G-VRPTW-MD,10,7,4,21
214,G-VRPTW-MD,5,4,2,11
215,G-VRPTW-MD,7,7,1,15
216,G-VRPTW-MD,8,4,5,17
