instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
A-n32-k5.vrp,CVRP,True,Sets/Set_A/A-n32-k5.vrp,31,5,1146.3996317253793
A-n33-k5.vrp,CVRP,True,Sets/Set_A/A-n33-k5.vrp,32,5,978.1456610175788
A-n33-k6.vrp,CVRP,True,Sets/Set_A/A-n33-k6.vrp,32,6,1043.2746316926161
A-n34-k5.vrp,CVRP,True,Sets/Set_A/A-n34-k5.vrp,33,5,946.7989933145092
A-n36-k5.vrp,CVRP,True,Sets/Set_A/A-n36-k5.vrp,35,5,1103.4992844828946
A-n37-k5.vrp,CVRP,True,Sets/Set_A/A-n37-k5.vrp,36,5,948.545165657581
A-n37-k6.vrp,CVRP,True,Sets/Set_A/A-n37-k6.vrp,36,6,1341.8779365605785
A-n38-k5.vrp,CVRP,True,Sets/Set_A/A-n38-k5.vrp,37,5,1084.6091124680893
A-n39-k5.vrp,CVRP,True,Sets/Set_A/A-n39-k5.vrp,38,5,1032.574615401068
A-n39-k6.vrp,CVRP,True,Sets/Set_A/A-n39-k6.vrp,38,6,1212.8890576535111
A-n44-k6.vrp,CVRP,True,Sets/Set_A/A-n44-k6.vrp,43,6,1328.6927227247668
A-n45-k6.vrp,CVRP,True,Sets/Set_A/A-n45-k6.vrp,44,7,1485.29903471766
A-n45-k7.vrp,CVRP,True,Sets/Set_A/A-n45-k7.vrp,44,7,1404.0454204393577
A-n46-k7.vrp,CVRP,True,Sets/Set_A/A-n46-k7.vrp,45,7,1335.7931183371038
A-n48-k7.vrp,CVRP,True,Sets/Set_A/A-n48-k7.vrp,47,7,1476.5729733586288
A-n53-k7.vrp,CVRP,True,Sets/Set_A/A-n53-k7.vrp,52,7,1449.5357275503995
A-n54-k7.vrp,CVRP,True,Sets/Set_A/A-n54-k7.vrp,53,7,1433.642613592289
A-n55-k9.vrp,CVRP,True,Sets/Set_A/A-n55-k9.vrp,54,9,1499.3128792105576
A-n60-k9.vrp,CVRP,True,Sets/Set_A/A-n60-k9.vrp,59,9,1969.9807053701652
A-n61-k9.vrp,CVRP,True,Sets/Set_A/A-n61-k9.vrp,60,9,1421.1604610455356
A-n62-k8.vrp,CVRP,True,Sets/Set_A/A-n62-k8.vrp,61,8,1816.5796506854233
A-n63-k10.vrp,CVRP,True,Sets/Set_A/A-n63-k10.vrp,62,10,1933.2643615780783
A-n63-k9.vrp,CVRP,True,Sets/Set_A/A-n63-k9.vrp,62,9,2248.570642908306
A-n64-k9.vrp,CVRP,True,Sets/Set_A/A-n64-k9.vrp,63,9,1962.2157972595026
A-n65-k9.vrp,CVRP,True,Sets/Set_A/A-n65-k9.vrp,64,9,1802.4122234744582
A-n69-k9.vrp,CVRP,True,Sets/Set_A/A-n69-k9.vrp,68,9,1576.8750706732737
A-n80-k10.vrp,CVRP,True,Sets/Set_A/A-n80-k10.vrp,79,10,2255.461886842153
A-n32-k5.vrp,CVRP,False,Sets/Set_A/A-n32-k5.vrp,31,1,595.7103691942654
A-n33-k5.vrp,CVRP,False,Sets/Set_A/A-n33-k5.vrp,32,1,524.6263183138565
A-n33-k6.vrp,CVRP,False,Sets/Set_A/A-n33-k6.vrp,32,1,543.8787181063019
A-n34-k5.vrp,CVRP,False,Sets/Set_A/A-n34-k5.vrp,33,1,550.0296385987853
